Protein.Group	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein	Protein.Names	Genes	group
Q92841	-0.19250402207089287	-0.3867104547417717	0.0017024105999859374	20.657371182590982	-1.9806792591491391	0.051980978610812086	0.17643658602037712	-5.209567382073734	Q92841	DDX17_HUMAN	DDX17	not significant
O43175	-0.1290927027242883	-0.25936394539656227	0.0011785399479856407	23.187883479577692	-1.980118103378506	0.052045538063665346	0.17655424916944717	-5.210623253674059	O43175	SERA_HUMAN	PHGDH	not significant
Q9H082	-0.20071443881794468	-0.40328869573361636	0.0018598180977270062	14.756452896436718	-1.9798501366556482	0.052076391125513946	0.17655750056675393	-5.211127367150944	Q9H082	RB33B_HUMAN	RAB33B	not significant
Q6NUJ1	1.3108632996868834	-0.4209234787414644	3.0426500781152312	14.888782891237947	1.5888117237663237	0.1292910111978968	0.3156646184930874	-5.2119680270391315	Q6NUJ1	SAPL1_HUMAN	PSAPL1	not significant
Q9HCE6	0.10175501385907162	-9.982636775932446e-4	0.2045082913957365	17.66506676248195	1.978782637853706	0.052199455963390526	0.1768120793563965	-5.213135005868084	Q9HCE6	ARGAL_HUMAN	ARHGEF10L	not significant
P30047	-0.20705652393310153	-0.41615526332408115	0.0020422154578780827	18.295149950634546	-1.978679531045066	0.052211355637919996	0.1768120793563965	-5.2133288676280944	P30047	GFRP_HUMAN	GCHFR	not significant
Q9BU02	-0.31812289163790386	-0.6626765671632842	0.026430783887476383	12.999101958161765	-1.8642993295695194	0.06940919184178407	0.2132637619988904	-5.214517967715981	Q9BU02	THTPA_HUMAN	THTPA	not significant
P53367	-0.23660268943917606	-0.4773997944897553	0.004194415611403157	15.462260435078651	-1.9646401041332173	0.05399793567832596	0.18035229452518647	-5.215042871444833	P53367	ARFP1_HUMAN	ARFIP1	not significant
Q9Y2W6	0.2546795782844416	-0.008935125109775066	0.5182942816786582	13.305055471753413	1.9359335243397422	0.058000160358279075	0.18904467277924736	-5.215399692861875	Q9Y2W6	TDRKH_HUMAN	TDRKH	not significant
P51798	-0.24381049151018658	-0.5038913202742936	0.01627033725392052	14.638552460922558	-1.884615029717413	0.06551496359326672	0.2044195212959725	-5.21806954602866	P51798	CLCN7_HUMAN	CLCN7	not significant
Q6E0U4	0.6602853265567936	-0.1419356294806745	1.4625062825942616	17.642346219249355	1.6853547326432616	0.1029430550124617	0.27428341939685347	-5.218098612322596	Q6E0U4	DMKN_HUMAN	DMKN	not significant
Q9UKD2	0.4634305892163282	-0.07850009826927995	1.0053612767019362	12.593059389268337	1.7510342212206225	0.09079908248826005	0.2546340841289952	-5.218662262678286	Q9UKD2	MRT4_HUMAN	MRTO4	not significant
O75643	-0.1902257080429549	-0.382682176087377	0.002230760001467158	20.47243679842732	-1.9750343566791537	0.052633544411345635	0.1778451175957402	-5.220176805766734	O75643	U520_HUMAN	SNRNP200	not significant
P49458	-0.20122598986974044	-0.4048146752779167	0.002362695538435794	16.16699628493602	-1.9750058722301183	0.052636854987699606	0.1778451175957402	-5.220230273640352	P49458	SRP09_HUMAN	SRP9	not significant
Q8NDX5	-0.25574626297108155	-0.5248615915984882	0.013369065656325119	13.014051802201088	-1.908557334897359	0.06204118917842955	0.19744631248235853	-5.22124615040153	Q8NDX5	PHC3_HUMAN	PHC3	not significant
Q7Z5P4	0.1813099470890941	-0.002194413786277827	0.364814307964466	23.13954615867046	1.974300241235104	0.052718923142895543	0.17791883433253777	-5.221554589126131	Q7Z5P4	DHB13_HUMAN	HSD17B13	not significant
Q6P3W7	0.27959813679324097	-0.013319650393422477	0.5725159239799045	13.822380079615884	1.9151951097823185	0.060950161975203906	0.19563676990519255	-5.221587576425352	Q6P3W7	SCYL2_HUMAN	SCYL2	not significant
Q9HC78	-0.22373104501053845	-0.45453225947967063	0.007070169458593734	15.765991880933026	-1.9409511409360913	0.05719437864260288	0.1873956203584989	-5.221759570378548	Q9HC78	ZBT20_HUMAN	ZBTB20	not significant
P49427	0.2350502891778573	-0.005848576553034612	0.47594915490874923	14.808903619742459	1.9522530951011088	0.05563962374649139	0.18440382595217628	-5.222623052809142	P49427	UB2R1_HUMAN	CDC34	not significant
O14964	-0.16372803349813217	-0.3295936149164613	0.002137547920196936	17.06432108006216	-1.9724442052487186	0.052935311674638455	0.17844517736895818	-5.225035968382942	O14964	HGS_HUMAN	HGS	not significant
Q86VF5	0.41053302383989876	-0.2326937649453884	1.053759812625186	13.44888357435321	1.4011847336787084	0.18817259115764925	0.4001970916013959	-5.225147272184066	Q86VF5	MOGT3_HUMAN	MOGAT3	not significant
O00182	-0.3562488922879371	-0.743890556470833	0.031392771894958815	15.217496845461339	-1.8556697250841985	0.07065781602464058	0.2156615304607376	-5.227725224522607	O00182	LEG9_HUMAN	LGALS9	not significant
P11234	-0.17811564410811756	-0.3586968429086558	0.002465554692420685	16.840787280472885	-1.9709131667930937	0.05311438141044655	0.1788775640646461	-5.2279055705425534	P11234	RALB_HUMAN	RALB	not significant
Q02241	0.22934929356090056	-0.0033039499929123917	0.4620025371147135	15.76788801282455	1.9710737971837093	0.05323946606823683	0.1790084480048352	-5.228457564420962	Q02241	KIF23_HUMAN	KIF23	not significant
P18583	-0.19204003681552392	-0.3867721564134808	0.0026920827824329363	17.441419481956874	-1.9705712687230084	0.0531544403883261	0.1788775640646461	-5.228546116021333	P18583	SON_HUMAN	SON	not significant
O75787	0.4645010504151378	-0.1742839430492693	1.1032860438795449	13.090803800044664	1.5478351288786543	0.14218160180316664	0.3357555138942432	-5.228585238771404	O75787	RENR_HUMAN	ATP6AP2	not significant
Q96AE4	-0.21303914066304327	-0.4291577800179011	0.003079498691814564	18.935868516112837	-1.9697228992219882	0.05325395244573238	0.1790084480048352	-5.230135110814795	Q96AE4	FUBP1_HUMAN	FUBP1	not significant
Q9NYQ3	0.23111820458883395	-0.0033916474928935014	0.4656280566705614	18.276442115148186	1.9692960928011598	0.05330407620270283	0.17907501368211773	-5.2309342899988085	Q9NYQ3	HAOX2_HUMAN	HAO2	not significant
Q9H9B1	-1.1493467746449721	-2.6479073499527557	0.3492138006628116	14.95255167901208	-1.61648243274076	0.12414597280266962	0.3079740572006326	-5.231874486911144	Q9H9B1	EHMT1_HUMAN	EHMT1	not significant
Q9Y282	0.2523758154852325	-0.003793521107397335	0.5085451520778623	16.782685352936774	1.9686048402308445	0.05338534185768363	0.17924606538458188	-5.2322283101274945	Q9Y282	ERGI3_HUMAN	ERGIC3	not significant
Q99714	-0.12920300217986844	-0.260605138425164	0.0021991340654271274	21.95458024663264	-1.9647537947848386	0.05384002358197891	0.18015817522672375	-5.239430090729336	Q99714	HCD2_HUMAN	HSD17B10	not significant
O94811	0.5997235194054736	-0.5132719867733216	1.7127190255842688	12.066972889509746	1.2364240293939415	0.2504030445692585	0.47263674695622904	-5.240320483771268	O94811	TPPP_HUMAN	TPPP	not significant
Q7Z7K6	0.26988715862659385	-0.004736934230755163	0.5445112514839429	16.5556682847082	1.9637289496367052	0.05396158020820283	0.18035229452518647	-5.241344537337967	Q7Z7K6	CENPV_HUMAN	CENPV	not significant
P06702	0.846188602339273	-0.014856719671368701	1.7072339243499146	20.55502676852196	1.963717980251098	0.05396288255178907	0.18035229452518647	-5.241365023756737	P06702	S10A9_HUMAN	S100A9	not significant
Q9GZM7	-0.21555450991998099	-0.434947455196924	0.0038384353569620167	16.48204463321514	-1.9632355618559416	0.05402018439130627	0.18035229452518647	-5.24226588800783	Q9GZM7	TINAL_HUMAN	TINAGL1	not significant
O43516	0.2792659472288782	-0.012548775074026963	0.5710806695317834	13.897938150832186	1.9169197376080473	0.06033426008309722	0.1939761241430442	-5.243683657877523	O43516	WIPF1_HUMAN	WIPF1	not significant
P15735	-0.12471214291479833	-0.25169489960610136	0.0022706137765047124	18.553025089087836	-1.9624651248441596	0.05411180501128651	0.18055611321845091	-5.243704189992119	P15735	PHKG2_HUMAN	PHKG2	not significant
Q12955	0.23991104673211963	-0.006133423890534673	0.48595551735477394	15.947495427747274	1.949625630159687	0.05580401374254303	0.18474131455350848	-5.2437612791336905	Q12955	ANK3_HUMAN	ANK3	not significant
Q9Y4W6	0.0909530921544594	-0.0016968751101565233	0.18360305941907534	19.99644001173869	1.9615986554066478	0.05421500442914053	0.18069628451382844	-5.245321175017012	Q9Y4W6	AFG32_HUMAN	AFG3L2	not significant
O75674	-0.16715537604800035	-0.33752612944971394	0.003215377353713217	16.163346460761822	-1.9604838177869395	0.05434803263567851	0.1809354457420052	-5.24740072975475	O75674	TM1L1_HUMAN	TOM1L1	not significant
P07902	-0.1489550996729324	-0.3009767600781702	0.0030665607323054067	19.052811898881654	-1.9578880770881846	0.05465885060684766	0.18186770235720692	-5.252238624043339	P07902	GALT_HUMAN	GALT	not significant
Q9UPY8	-0.4045860117644645	-0.9169048603846381	0.10773283685570911	12.351223584068245	-1.6327379101859922	0.11600430417738689	0.2944226130088728	-5.256226691389512	Q9UPY8	MARE3_HUMAN	MAPRE3	not significant
O60547	0.1558611752395975	-0.003397272988936356	0.3151196234681314	16.63406489593349	1.955570259064834	0.05493767123093086	0.18269250354159777	-5.2565537371042765	O60547	GMDS_HUMAN	GMDS	not significant
Q8TB36	0.26968161543032537	-0.01053709354229776	0.5499003244029486	13.920420335189526	1.9301250874143925	0.05892660350702774	0.19069732352564958	-5.257331548413481	Q8TB36	GDAP1_HUMAN	GDAP1	not significant
Q9NZN8	-0.24535665924544417	-0.4973711722033478	0.006657853712459499	13.247771506322321	-1.946645578406711	0.056168549121855635	0.1853248330244019	-5.257626900786069	Q9NZN8	CNOT2_HUMAN	CNOT2	not significant
P33992	-0.3269431696684718	-0.6753267272989459	0.021440387962002316	15.633792564264963	-1.8847292439435768	0.06525811881387295	0.20426253421365645	-5.258381867584324	P33992	MCM5_HUMAN	MCM5	not significant
Q9Y5K5	-0.11734290708917136	-0.23732735643028918	0.0026415422519464465	17.381344121222916	-1.9542037285132925	0.055102625496777524	0.18313793257398314	-5.25909570528776	Q9Y5K5	UCHL5_HUMAN	UCHL5	not significant
Q9Y4P8	0.3624138375033597	-0.03759811698675525	0.7624257919934747	16.987364102158658	1.8234487723014068	0.07470390616947777	0.22249181534893375	-5.261105964451186	Q9Y4P8	WIPI2_HUMAN	WIPI2	not significant
Q8N6T3	0.3976397356506141	-0.10164982016673024	0.8969292914679585	13.03590930627168	1.6551136673879177	0.11260755542640012	0.28928239336595	-5.261130742213403	Q8N6T3	ARFG1_HUMAN	ARFGAP1	not significant
P35555	0.22101419098595168	-0.00528752103414859	0.44731590300605195	19.208330170405755	1.9515077366774485	0.05542929925272477	0.1839131693183104	-5.264106072850624	P35555	FBN1_HUMAN	FBN1	not significant
B7ZW38;O60812;P0DMR1	-0.31885567559153044	-0.6457021933552363	0.007990842172175328	16.96896417709576	-1.9493429257661639	0.05569280445070241	0.18447655809638164	-5.268124832334729	B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	not significant
P49589	0.09901395531743479	-0.0025471600290394997	0.20057507066390906	18.406870702848362	1.9480805257256386	0.05584695899710345	0.18477991027276916	-5.270466530395682	P49589	SYCC_HUMAN	CARS1	not significant
O75629	0.4901976795192708	-0.0128507106584001	0.9932460696969416	18.53315154269837	1.947150158946415	0.05596080097628426	0.18489763178627833	-5.272191460663388	O75629	CREG1_HUMAN	CREG1	not significant
Q99943	0.18741124051752267	-0.0049256814105786695	0.37974816244562404	15.32114804162246	1.947022322649763	0.05597645879340766	0.18489763178627833	-5.272428416260838	Q99943	PLCA_HUMAN	AGPAT1	not significant
Q9H496	0.2667514429524813	-0.03716502844992964	0.5706679143548923	13.742989007928486	1.7796842694726387	0.08351632169491817	0.24031753713871026	-5.2726043464244166	Q9H496	IFG15_HUMAN	TOR1AIP2	not significant
Q9Y2W2	-0.28111481770354224	-0.5772764564910573	0.015046821083972817	14.842794851013997	-1.9012887515458643	0.0623926543116711	0.19822001956144675	-5.275847598557748	Q9Y2W2	WBP11_HUMAN	WBP11	not significant
P84095	-0.25491120288003294	-0.516821944228586	0.0069995384685200834	16.529000667841093	-1.9447938361196888	0.05625001199657418	0.18545781834973224	-5.27655689305897	P84095	RHOG_HUMAN	RHOG	not significant
Q92673	-0.1403125161006956	-0.284600100960976	0.003975068759584782	17.867578896919905	-1.9431458764733207	0.0564530360278552	0.18553791362298988	-5.279607194777349	Q92673	SORL_HUMAN	SORL1	not significant
P05023	-0.10919071438651066	-0.2215209922587955	0.003139563485774169	21.747190823278448	-1.9423470533871088	0.05655167331733888	0.185655465598779	-5.2810849566588836	P05023	AT1A1_HUMAN	ATP1A1	not significant
O75312	0.18975348679083057	-0.005481834550068232	0.38498880813172937	14.896273344129721	1.9420899026391136	0.05658345707693687	0.1856566097202162	-5.281560551332497	O75312	ZPR1_HUMAN	ZPR1	not significant
Q53H47	-0.6500826851818785	-1.6151066116724966	0.31494124130873946	10.439080737172118	-1.442591372868259	0.17077762294280543	0.376488481187088	-5.281641883658439	Q53H47	SETMR_HUMAN	SETMAR	not significant
O94956	-0.19582154449082642	-0.39751476792510027	0.005871678943447423	16.598219917064206	-1.9400240850531565	0.056839344280505105	0.18639265259337212	-5.285379209542944	O94956	SO2B1_HUMAN	SLCO2B1	not significant
Q9H4Z3	-0.37030663615280196	-0.8181569582401276	0.07754368593452365	15.187554115942946	-1.685865562379505	0.10178782533128251	0.2723873567768711	-5.285589096563246	Q9H4Z3	CAPAM_HUMAN	PCIF1	not significant
Q9BTT0	-0.24421521004527433	-0.49648360116417967	0.008053181073631038	16.333876713849634	-1.9356394328174216	0.05753253457389639	0.18824772808500392	-5.286154524382464	Q9BTT0	AN32E_HUMAN	ANP32E	not significant
O43598	-0.282941790300833	-0.5935735067384009	0.027689926136734933	15.639091585588634	-1.8354412756239986	0.07316893440959275	0.22025266392612375	-5.287074441913989	O43598	DNPH1_HUMAN	DNPH1	not significant
Q14676	-0.36841676247296634	-0.8365199127213779	0.09968638777544525	11.447888247304405	-1.6312265846270488	0.11692719266662487	0.29612864489240415	-5.292890661529425	Q14676	MDC1_HUMAN	MDC1	not significant
O75208	0.12941486961301876	-0.004241374063898046	0.2630711132899356	19.164589470909387	1.9347857701895959	0.05749262269211628	0.18822141331465564	-5.295046058351739	O75208	COQ9_HUMAN	COQ9	not significant
Q9UBG3	-1.390086684652335	-4.194543169872093	1.4143698005674232	17.453557438497793	-1.1644111921528748	0.2812138512209325	0.5042207950356862	-5.295533609049826	Q9UBG3	CRNN_HUMAN	CRNN	not significant
Q52LC2	-0.32534269989800935	-0.7328990119112859	0.08221361211526729	15.779970121471353	-1.6467182018837634	0.11252387619598107	0.28928239336595	-5.299098743938613	Q52LC2	VAS1L_HUMAN	ATP6AP1L	not significant
P12532	0.9175131887960329	-0.5030976304560159	2.338124008048082	15.334787222293729	1.392780951171765	0.18664217568135025	0.3982461878740299	-5.3011315904433145	P12532	KCRU_HUMAN	CKMT1B	not significant
Q92552	-0.14657590069229537	-0.2982579335524978	0.005106132167907063	17.615431451129307	-1.930929368249243	0.057977635797110426	0.18904467277924736	-5.3021478833244124	Q92552	RT27_HUMAN	MRPS27	not significant
O14618	-0.12675982506351677	-0.2579447303724734	0.004425080245439861	18.034239228879354	-1.9307930278724592	0.05799484661816441	0.18904467277924736	-5.302398733115092	O14618	CCS_HUMAN	CCS	not significant
O60506	-0.11644982835581118	-0.23705176530681987	0.004152108595197518	19.253496685842716	-1.9294011217693552	0.05817080164491952	0.18949627937942345	-5.304958771920232	O60506	HNRPQ_HUMAN	SYNCRIP	not significant
Q9H3U5	-0.2372464882506209	-0.48591319947730005	0.011420222976058297	13.329133405516583	-1.90827958004065	0.06112415546012308	0.1957696649389842	-5.305630307394732	Q9H3U5	MFSD1_HUMAN	MFSD1	not significant
O75462	0.33454522806994735	-0.09396840480405694	0.7630588609439517	18.05522788535252	1.6387007293949671	0.11841465429049262	0.29791145765911187	-5.306058531281629	O75462	CRLF1_HUMAN	CRLF1	not significant
P31930	0.14505116529330697	-0.00529873168369982	0.29540106227031376	19.50905188603551	1.9277736695429641	0.058377108450194955	0.18997418311023892	-5.307949955472736	P31930	QCR1_HUMAN	UQCRC1	not significant
Q7Z794	1.3355820207839335	-0.05949876936136178	2.730662810929229	21.87854170244755	1.9148337184127133	0.060266059419809545	0.19396811620366503	-5.30808097560068	Q7Z794	K2C1B_HUMAN	KRT77	not significant
P15924	0.7164410293143091	-0.026475117191134823	1.459357175819753	23.26680381526739	1.926986218544095	0.05847715422068991	0.1901713267106764	-5.309396449917382	P15924	DESP_HUMAN	DSP	not significant
P31150	0.22016588831932338	-0.011009965172844749	0.4513417418114915	15.691238298881675	1.906926718875411	0.06155373220079504	0.19640649893952408	-5.31093806755024	P31150	GDIA_HUMAN	GDI1	not significant
P53602	0.16379933979510933	-0.006162366583749773	0.3337610461739684	17.528795930432036	1.9257460742626595	0.05863501035065691	0.19048315243728256	-5.311673446927583	P53602	MVD1_HUMAN	MVD	not significant
P41223	-0.40109395605136977	-0.8806282902330743	0.07844037813033478	13.993187930392878	-1.699388681242386	0.09831676642584398	0.2669471394651462	-5.312526317011638	P41223	BUD31_HUMAN	BUD31	not significant
P38432	-0.30686314309257096	-0.6364270319993737	0.02270074581423176	14.405897686809347	-1.8673956920681412	0.06735622938667156	0.20904145599457816	-5.313763907775563	P38432	COIL_HUMAN	COIL	not significant
P51148	-0.10321871823877395	-0.21038487351856794	0.003947437041020033	19.60661710668898	-1.9245924089168	0.05878218384555701	0.1906692000667887	-5.313790492834794	P51148	RAB5C_HUMAN	RAB5C	not significant
P60510	-0.162648075154157	-0.3315561469717621	0.00625999666344812	16.457241107808002	-1.9241391700008246	0.05884008955369221	0.19069732352564958	-5.314621905307038	P60510	PP4C_HUMAN	PPP4C	not significant
P52292	-0.3599692685507918	-0.9647452556094467	0.24480671850786306	13.452370811236754	-1.3067193097060363	0.2174239173293164	0.4356093127999999	-5.315673199954712	P52292	IMA1_HUMAN	KPNA2	not significant
P00414	-0.20482467733935086	-0.42477589540738225	0.015126540728680499	16.432697676684263	-1.869309814236367	0.06730023263841733	0.2089774836816471	-5.316316706092029	P00414	COX3_HUMAN	MT-CO3	not significant
Q7Z4G1	-0.3501027280006554	-0.8228895216332848	0.12268406563197398	14.07383739725645	-1.543526361498643	0.13819890964138554	0.3308483017195067	-5.317355891252398	Q7Z4G1	COMD6_HUMAN	COMMD6	not significant
Q9HCU0	0.5753111742375808	-0.2625841937605894	1.4132065422357512	13.526554033407752	1.4538496884884686	0.1650467639557762	0.36993024209594466	-5.3181831904505765	Q9HCU0	CD248_HUMAN	CD248	not significant
Q8WUK0	0.2885841461140485	-0.018218129711733255	0.5953864219398302	17.781849856087565	1.8848632206765283	0.06471359286859144	0.20321712218185262	-5.319132134073738	Q8WUK0	PTPM1_HUMAN	PTPMT1	not significant
O95744	0.46817267714762584	-0.2797186455257353	1.216063999820987	18.345462052623695	1.3742919170907237	0.1961452975682047	0.4106466244019202	-5.31957976296868	O95744	PM2P2_HUMAN	PMS2P2	not significant
Q8TAQ2	-0.21288070990157495	-0.4391771330433433	0.013415713240193416	16.719770483788096	-1.8828864954953874	0.06471377968951343	0.20321712218185262	-5.319814658896183	Q8TAQ2	SMRC2_HUMAN	SMARCC2	not significant
P15848	-0.29960097615018766	-0.617160207623903	0.017958255323527683	13.903848689382837	-1.8890563957839457	0.06395433917359984	0.20209434304937435	-5.320021039300048	P15848	ARSB_HUMAN	ARSB	not significant
Q6P1N9	0.22642926578951922	-0.014294019322962037	0.4671525509020005	14.505753627811849	1.8841158458270433	0.06472255449103705	0.20321712218185262	-5.320107306332988	Q6P1N9	TATD1_HUMAN	TATDN1	not significant
Q3MJ16	0.8060332187607252	-0.1280309527231751	1.7400973902446255	16.581680399993125	1.74971231832896	0.08863374039284777	0.25058442831984634	-5.322011161690632	Q3MJ16	PA24E_HUMAN	PLA2G4E	not significant
P42766	-0.1295301878489213	-0.264329006208452	0.005268630510609412	19.9061870168687	-1.9200956646545213	0.05935883606520993	0.19167595595227338	-5.3220315283433655	P42766	RL35_HUMAN	RPL35	not significant
Q9Y6M9	-0.17056467788725227	-0.34806730872177305	0.006937952947268511	18.404267993534013	-1.9200929853837774	0.05935918107631358	0.19167595595227338	-5.322036433446529	Q9Y6M9	NDUB9_HUMAN	NDUFB9	not significant
O60831	0.1911121355849916	-0.008505290750515954	0.3907295619204991	15.012491965571527	1.9136558775781876	0.06026608419128435	0.19396811620366503	-5.3220732567220566	O60831	PRAF2_HUMAN	PRAF2	not significant
Q8TB40	0.29474166665645635	-0.03473868535804803	0.6242220186709607	13.037467924589398	1.802607637727098	0.07826551777369317	0.23000483182126175	-5.324639428450894	Q8TB40	ABHD4_HUMAN	ABHD4	not significant
Q9HBK9	-0.1487422858314584	-0.3037182729195612	0.006233701256644408	15.6838612037855	-1.9178206786095067	0.05965240127852399	0.19230735914353858	-5.326194291598995	Q9HBK9	AS3MT_HUMAN	AS3MT	not significant
Q66K64	-0.4994103377587528	-1.48447951378617	0.48565883826866424	14.413967143762061	-1.142440868287385	0.2820253280397355	0.5046153554569276	-5.326611060743777	Q66K64	DCA15_HUMAN	DCAF15	not significant
Q14192	0.3463482352721199	-0.059221258558518064	0.7519177291027579	14.495725115307836	1.735058049954889	0.09172625464506523	0.2556453682160952	-5.331734391717698	Q14192	FHL2_HUMAN	FHL2	not significant
Q9UJC5	-0.12893581082535777	-0.2635553975780872	0.0056837759273716815	17.130755604920147	-1.9138295660200608	0.06017039548153695	0.19387144337913653	-5.333486612877959	Q9UJC5	SH3L2_HUMAN	SH3BGRL2	not significant
Q9BW04	0.7115260265535147	-0.31948698575606016	1.7425390388630895	14.1143508991033	1.468991718947336	0.1621807898750969	0.3655876889321841	-5.335276347567534	Q9BW04	SARG_HUMAN	SARG	not significant
Q9HAV4	-0.33204076653366277	-0.7282126270370144	0.06413109396968891	13.085619178640895	-1.711118650161261	0.09730189870669838	0.2654341864950395	-5.335368422100755	Q9HAV4	XPO5_HUMAN	XPO5	not significant
Q9BW27	-0.15165784914684297	-0.3100980459434628	0.006782347649776893	15.862495985191915	-1.9126586818556364	0.06032308341291395	0.1939761241430442	-5.3356234178021955	Q9BW27	NUP85_HUMAN	NUP85	not significant
O15014	0.5965812973758022	-0.3777181743119148	1.5708807690635194	13.082939578101358	1.331293992450103	0.20736707085983566	0.4242154210246586	-5.339016482631223	O15014	ZN609_HUMAN	ZNF609	not significant
Q9UBI1	-0.12339791075696407	-0.2524878415189178	0.005692020004989612	17.51003788989636	-1.9100880862143386	0.06065945300745828	0.19491552201417225	-5.3403105436009914	Q9UBI1	COMD3_HUMAN	COMMD3	not significant
P61619	-0.14310538063710948	-0.2928458234670053	0.006635062192786284	17.997742031018333	-1.9096545277884802	0.06071634187590189	0.1949922322561591	-5.341100524463175	P61619	S61A1_HUMAN	SEC61A1	not significant
P22735	0.9803098428688707	-0.049642042345266923	2.0102617280830084	19.947848652420493	1.9030973997392722	0.06173156741401434	0.19686103517665696	-5.341230059404453	P22735	TGM1_HUMAN	TGM1	not significant
Q96BY9	0.44487853741424205	-0.06091130995893973	0.9506683847874238	14.416538371472498	1.7747557917782526	0.0831461063313451	0.24001021700533928	-5.344615506425418	Q96BY9	SARAF_HUMAN	SARAF	not significant
P30740	0.160097376058872	-0.007604635317360192	0.3277993874351042	20.42967708591282	1.907585003098296	0.06098851620702272	0.19565354520297457	-5.344869176994632	P30740	ILEU_HUMAN	SERPINB1	not significant
Q96EY8	-0.12203996826315194	-0.24993015708324814	0.005850220556944258	19.966071747517923	-1.9067897748151421	0.061093375809095296	0.1957696649389842	-5.346316338456435	Q96EY8	MMAB_HUMAN	MMAB	not significant
O95810	-0.20508777557086574	-0.42995168534524514	0.01977613420351365	14.830283992679023	-1.8317000924565143	0.07292857174946893	0.2198653112569492	-5.346724582494882	O95810	CAVN2_HUMAN	CAVIN2	not significant
Q9BZK7	-0.235543459603542	-0.4856785194399301	0.014591600232846114	15.986176624637473	-1.883459743907912	0.06446827071532163	0.2030664569838344	-5.346836913035014	Q9BZK7	TBL1R_HUMAN	TBL1XR1	not significant
P62753	-0.12622819727594778	-0.258545993859374	0.006089599307478433	20.4843772062907	-1.9062334080586518	0.061166829755666174	0.19579505517301596	-5.347328498705322	P62753	RS6_HUMAN	RPS6	not significant
Q02985	0.28184249451829047	-0.028983904069839195	0.5926688931064201	15.841874765717613	1.8219669239724656	0.07453719490919192	0.2221073022874306	-5.347406289429413	Q02985	FHR3_HUMAN	CFHR3	not significant
Q8IUX4	0.24910366806122172	-0.03421405028759403	0.5324213864100374	14.197439489963879	1.7728738610462964	0.083294992924705	0.2400928417405256	-5.3474713249148484	Q8IUX4	ABC3F_HUMAN	APOBEC3F	not significant
Q71UM5	-0.14147510420556136	-0.28982705943787135	0.006876851026748648	20.156316485345677	-1.9055691131200772	0.06125463092038134	0.19586889562304935	-5.348536660804612	Q71UM5	RS27L_HUMAN	RPS27L	not significant
Q01831	-0.3039846327353709	-0.6463998472083651	0.03843058173762326	15.54482987377972	-1.7857209028287344	0.08056526075491158	0.23431229337607828	-5.349995877268646	Q01831	XPC_HUMAN	XPC	not significant
P22087	-0.24270101665430305	-0.4973602633731784	0.011958230064572306	19.13541445756459	-1.9043646110362409	0.061414104868590544	0.1962725667499436	-5.350726348247442	P22087	FBRL_HUMAN	FBL	not significant
O43395	-0.29912484965760094	-0.6141839873134736	0.01593428799827168	14.82136734521469	-1.8977300884923052	0.06237246949397279	0.19822001956144675	-5.351011825111839	O43395	PRPF3_HUMAN	PRPF3	not significant
Q7L2J0	-0.28027252874169506	-0.5791726873764742	0.018627629893084086	14.796102473028377	-1.8761366687463912	0.06556613119654482	0.20445278291805372	-5.35146386386659	Q7L2J0	MEPCE_HUMAN	MEPCE	not significant
Q12824	-0.29261498770410355	-0.6043092428919858	0.019079267483778695	14.632286457059424	-1.8783557744513673	0.0652568192457923	0.20426253421365645	-5.352459649436422	Q12824	SNF5_HUMAN	SMARCB1	not significant
Q96CD0	0.16747072223513124	-0.00835011292671864	0.34329155739698114	16.27147885844986	1.903296774035131	0.06155577879056199	0.19640649893952408	-5.352666558217257	Q96CD0	FBXL8_HUMAN	FBXL8	not significant
Q9NP77	-0.435570208017944	-0.9750224681798153	0.10388205214392732	12.005583271829794	-1.65080516087749	0.10948230156896799	0.28430589988913474	-5.35534487927047	Q9NP77	SSU72_HUMAN	SSU72	not significant
O15397	0.48881767829838346	-0.428231416004958	1.4058667726017249	10.43435753695087	1.183991002681779	0.2631853642368457	0.4845220453432167	-5.357504800131221	O15397	IPO8_HUMAN	IPO8	not significant
Q14318	-0.16630993334230962	-0.341168409414357	0.008548542729737735	16.13796887707623	-1.9005069288029124	0.061927225807425795	0.197361203145959	-5.357731000738175	Q14318	FKBP8_HUMAN	FKBP8	not significant
Q56VL3	0.2067639355344145	-0.01065193796193245	0.42417980903076147	15.871052032393195	1.900297067371729	0.06195524392695699	0.197361203145959	-5.358111697208279	Q56VL3	OCAD2_HUMAN	OCIAD2	not significant
P00390	0.1083926652775368	-0.005626128590030893	0.2224114591451045	19.869061088061603	1.8995967140028127	0.062048824240985	0.19744631248235853	-5.359381893193113	P00390	GSHR_HUMAN	GSR	not significant
Q9H8M1	0.23635177743289712	-0.013261545239149547	0.48596510010494376	15.678789280059952	1.8926274791773152	0.06306041268822606	0.1996536868492228	-5.359846491216086	Q9H8M1	CQ10B_HUMAN	COQ10B	not significant
Q8WX92	-0.2130756677854705	-0.43896919208353735	0.01281785651259637	14.95679585880161	-1.8860129332384	0.06403823525583073	0.20213088277085503	-5.359905334561228	Q8WX92	NELFB_HUMAN	NELFB	not significant
